Place_ID X Date,target
0OS9LVX X 2020-01-02,3.25903474564712
0OS9LVX X 2020-01-03,3.1127614832508153
0OS9LVX X 2020-01-04,3.2234592147239214
0OS9LVX X 2020-01-05,3.3496170499574927
0OS9LVX X 2020-01-06,3.048031504373843
0OS9LVX X 2020-01-07,2.755454327195261
0OS9LVX X 2020-01-08,3.1189836415283954
0OS9LVX X 2020-01-09,3.5679360210138844
0OS9LVX X 2020-01-10,3.3996997438651695
0OS9LVX X 2020-01-11,3.6776320463045646
0OS9LVX X 2020-01-12,3.277437402242105
0OS9LVX X 2020-01-13,3.345114977249296
0OS9LVX X 2020-01-14,3.333788500410132
0OS9LVX X 2020-01-15,3.6793514610902944
0OS9LVX X 2020-01-16,3.247616567555132
0OS9LVX X 2020-01-17,3.3007778361564113
0OS9LVX X 2020-01-18,3.4455925459260808
0OS9LVX X 2020-01-19,3.4242062830328592
0OS9LVX X 2020-01-20,3.3733511743184708
0OS9LVX X 2020-01-21,3.4292321746640475
0OS9LVX X 2020-01-22,3.6442712201456953
0OS9LVX X 2020-01-23,3.244491743380147
0OS9LVX X 2020-01-24,3.1076864547110703
0OS9LVX X 2020-01-25,3.045514275486471
0OS9LVX X 2020-01-26,3.1728955833007353
0OS9LVX X 2020-01-27,3.098715362529489
0OS9LVX X 2020-01-28,3.2099062778659335
0OS9LVX X 2020-01-29,3.0413291175926145
0OS9LVX X 2020-01-30,3.4199195812933576
0OS9LVX X 2020-01-31,3.982544908152847
0OS9LVX X 2020-02-01,2.996323184482512
0OS9LVX X 2020-02-02,3.1865298466176095
0OS9LVX X 2020-02-03,3.3546924429320395
0OS9LVX X 2020-02-04,3.320355832317427
0OS9LVX X 2020-02-05,3.329455292927575
0OS9LVX X 2020-02-06,3.3071800958848616
0OS9LVX X 2020-02-07,3.8526580747106207
0OS9LVX X 2020-02-08,3.57903165818861
0OS9LVX X 2020-02-09,3.561779440583229
0OS9LVX X 2020-02-10,3.5002808540351733
0OS9LVX X 2020-02-11,3.6530725631728203
0OS9LVX X 2020-02-12,3.5238996432942935
0OS9LVX X 2020-02-13,3.455602508775438
0OS9LVX X 2020-02-14,3.5370842170829953
0OS9LVX X 2020-02-15,3.6615580724014682
0OS9LVX X 2020-02-16,3.464527544667316
0OS9LVX X 2020-02-17,3.5317861672437822
0OS9LVX X 2020-02-18,3.523860590816234
0OS9LVX X 2020-02-19,3.746773538953258
0OS9LVX X 2020-02-20,3.5505633623832704
0OS9LVX X 2020-02-21,3.542602238073906
0OS9LVX X 2020-02-22,3.317840866935221
0OS9LVX X 2020-02-23,3.578229297707006
0OS9LVX X 2020-02-24,3.520809221542242
0OS9LVX X 2020-02-25,3.567109763808764
0OS9LVX X 2020-02-26,3.4772515545061755
0OS9LVX X 2020-02-27,3.656665659117559
0OS9LVX X 2020-02-28,3.256350475725329
0OS9LVX X 2020-02-29,3.205580318427648
0OS9LVX X 2020-03-01,3.3445468765373967
0OS9LVX X 2020-03-02,3.48301559498735
0OS9LVX X 2020-03-03,3.5645945107026877
0OS9LVX X 2020-03-04,3.5274980337346635
0OS9LVX X 2020-03-05,3.664480707729906
0OS9LVX X 2020-03-06,3.497925365847962
0OS9LVX X 2020-03-07,3.5374431948656615
0OS9LVX X 2020-03-08,3.633516192331977
0OS9LVX X 2020-03-09,3.5297256180456547
0OS9LVX X 2020-03-10,3.5288540992222073
0OS9LVX X 2020-03-11,3.500765390653199
0OS9LVX X 2020-03-12,3.6323010004374776
0OS9LVX X 2020-03-13,3.7304633633515145
0OS9LVX X 2020-03-14,3.7709398984586624
0OS9LVX X 2020-03-15,3.5991475575205167
0OS9LVX X 2020-03-16,3.5369957562335057
0OS9LVX X 2020-03-17,3.4504673466755107
0OS9LVX X 2020-03-18,3.7117478581892493
0OS9LVX X 2020-03-19,3.6014065058686895
0OS9LVX X 2020-03-20,3.4600299302166158
0OS9LVX X 2020-03-21,3.34625004134892
0OS9LVX X 2020-03-22,3.426593957567259
0OS9LVX X 2020-03-23,3.48556169969104
0OS9LVX X 2020-03-24,3.6904707251613207
0OS9LVX X 2020-03-25,3.7562406303910416
0OS9LVX X 2020-03-26,3.577325817116755
0OS9LVX X 2020-03-27,3.3953899232418143
0OS9LVX X 2020-03-28,3.681491864807981
0OS9LVX X 2020-03-29,3.7441232489517278
0OS9LVX X 2020-03-30,3.7460233378811694
0OS9LVX X 2020-03-31,3.745876532433517
0OS9LVX X 2020-04-01,3.484749549357431
0OS9LVX X 2020-04-02,3.3197658297889063
0OS9LVX X 2020-04-03,3.707818002887114
0OS9LVX X 2020-04-04,3.401332526178834
0Q2LTOG X 2020-01-02,4.474594695160489
0Q2LTOG X 2020-01-03,4.589128575347786
0Q2LTOG X 2020-01-04,4.888251392581476
0Q2LTOG X 2020-01-05,5.07948542124387
0Q2LTOG X 2020-01-06,4.66621759577714
0Q2LTOG X 2020-01-07,4.420825314293668
0Q2LTOG X 2020-01-08,3.587003953809587
0Q2LTOG X 2020-01-09,4.77914277069199
0Q2LTOG X 2020-01-10,5.048748697769768
0Q2LTOG X 2020-01-11,4.53861492232795
0Q2LTOG X 2020-01-12,4.503182126034405
0Q2LTOG X 2020-01-13,4.201391728577876
0Q2LTOG X 2020-01-14,4.461050691631001
0Q2LTOG X 2020-01-15,4.533694512107287
0Q2LTOG X 2020-01-16,4.5335846180699235
0Q2LTOG X 2020-01-17,4.984513123738719
0Q2LTOG X 2020-01-18,4.678948081312808
0Q2LTOG X 2020-01-19,5.24104900686487
0Q2LTOG X 2020-01-20,5.106321941337431
0Q2LTOG X 2020-01-21,4.742345309188937
